Acanthopteroctetes unifascia	1
Nemophora degeerella	1
Agathiphaga queenslandensis	1
Alucita desmodactyla	2
Bombyx mandarina	5
Bombyx mori	2
Brahmaea hearseyi	6
Bucculatrix cristatella	4
Pterodecta felderi	1
Synemon plana	2
Telchin licus	3
Hemerophila diva	1
Axia margarita	1
Hyposmocoma kahamanoa	1
Archaeoses polygrapha	1
Culama crepera	1
Morpheis pyracmon	5
Prionoxystus robiniae	15
Psychonoctua personalis	7
Catoptria falsella	2
Chilo suppressalis	25
Cnaphalocrocis medinalis	14
Dalcera abrasa	10
Antaeotricha schlaegeri	2
Psilocorsis reflexella	9
Cyclidia substigmaria	2
Pseudothyatira cymatophoroides	14
Thyatira batis	1
Tridrepana flava	1
Mustilizans dierli	2
Epicopeia hainesii	1
Amata phegea	1
Eudocima salaminia	8
Euproctis chrysorrhoea	41
Lymantria dispar	80
Phragmatobia fuliginosa	24
Phyllodes eyndhovii	1
Dyseriocrania subpurpurella	1
Tuta absoluta	1
Biston betularia	55
Ectropis obliqua	16
Macaria distribuaria	1
Nemoria lixaria	3
Operophtera brumata	31
Acrocercops transecta	5
Caloptilia triadicae	1
Cameraria ohridella	1
Philodoria splendida	1
Phyllocnistis citrella	12
Helicopsyche borealis	1
Phymatopus californicus	3
Triodia sylvina	5
Hylephila phyleus	12
Lerema accius	10
Megathymus yuccae	1
Thymelicus sylvestris	3
Urbanus proteus	18
Palaeagapetus nearcticus	1
Lactura subfervens	1
Dendrolimus pini	6
Demonarosa rufotessellata	5
Calycopis cecrops	7
Hemiargus ceraunus	15
Polyommatus icarus	8
Leucoptera coffeella	1
Megalopyge crispata	14
Micropterix calthella	1
Lacosoma chiridota	1
Enteucha acetosae	1
Stigmella atricapitella	1
Agrotis infusa	9
Amphipyra pyramidea	9
Helicoverpa zea	109
Heliothis virescens	50
Mythimna separata	3
Sesamia inferens	23
Spodoptera exigua	82
Spodoptera frugiperda	89
Striacosta albicosta	5
Manoba major	1
Pheosia gnoma	1
Bicyclus anynana	2
Danaus plexippus	18
Heliconius melpomene	1
Junonia coenia	26
Maniola jurtina	7
Melitaea cinxia	7
Pararge aegeria	11
Polygonia c-album	14
Pseudopostega quadristrigella	1
Luehdorfia chinensis	1
Papilio glaucus	29
Papilio machaon	38
Parides eurimedes	1
Anthocharis cardamines	9
Ascia monuste	17
Colias croceus	3
Hebomoia glaucippe	4
Phoebis sennae	6
Plutella xylostella	22
Tegeticula yuccasella	1
Thyridopteryx ephemeraeformis	92
Emmelina monodactyla	13
Lantanophaga pusillidactyla	4
Pterophorus pentadactyla	3
Amyelois transitella	33
Galleria mellonella	1
Plodia interpunctella	48
Actias luna	27
Attacus atlas	103
Hemileuca maia	15
Saturnia pyri	21
Therinia lactucina	1
Mania lunus	2
Bembecia ichneumoniformis	4
Podosesia syringae	6
Vitacea polistiformis	1
Darapsa myron	3
Enyo lugubris	7
Hemaris diffinis	10
Hyles euphorbiae	1
Macroglossum pyrrhosticta	2
Manduca sexta	26
Parum colligata	1
Smerinthus saliceti	2
Sphinx pinastri	4
Xylophanes tersa	16
Pseudothyris sepulchralis	1
Striglina suzukii	1
Tineola bisselliella	1
Coptotriche citrinipennella	1
Cydia pomonella	13
Grapholita dimorpha	2
Phaecasiophora niveiguttana	3
Calledapteryx dryopterata	1
Lyssa zampa	2
Yponomeuta evonymellus	1
Zygaena fausta	1
