Butterfly species name,Host family,Host genus
Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus
Nemophora degeerella,Betulaceae,Betula
Agathiphaga queenslandensis,Araucariaceae,Agathis
Alucita desmodactyla,Lamiaceae,Ballota
Alucita desmodactyla,Lamiaceae,Stachys
Bombyx mandarina,Ebenaceae,Diospyros
Bombyx mandarina,Malvaceae,Hibiscus
Bombyx mandarina,Rosaceae,Malus
Bombyx mandarina,Moraceae,Morus
Bombyx mandarina,Fagaceae,Quercus
Bombyx mori,Rubiaceae,Morinda
Bombyx mori,Moraceae,Morus
Brahmaea hearseyi,Oleaceae,Fraxinus
Brahmaea hearseyi,Oleaceae,Jasmimum
Brahmaea hearseyi,Oleaceae,Ligustrum
Brahmaea hearseyi,Oleaceae,Menodora
Brahmaea hearseyi,Oleaceae,Osmanthus
Brahmaea hearseyi,Viburnaceae,Sambucus
Bucculatrix cristatella,Asteraceae,Achillea
Bucculatrix cristatella,Asteraceae,Anthemis
Bucculatrix cristatella,Asteraceae,Chrysanthemum
Bucculatrix cristatella,Asteraceae,Leucanthemopsis
Pterodecta felderi,Onocleaceae,
Pterodecta felderi,Osmundaceae,
Synemon plana,Poaceae,Rytidosperma
Synemon plana,Poaceae,Danthonia
Telchin licus,Poaceae,Saccharum
Telchin licus,Heliconiaceae,
Telchin licus,Musaceae,
Hemerophila diva,Moraceae,Ficus
Axia margarita,Euphorbiaceae,Euphorbia
Hyposmocoma kahamanoa,Lichen/Algae,
Archaeoses polygrapha,Scrophulariaceae,Myoporum
Culama crepera,Myrtaceae,Eucalyptus
Morpheis pyracmon,Fabaceae,Inga
Morpheis pyracmon,Fabaceae,Mimosa
Morpheis pyracmon,Salicaceae,Salix
Morpheis pyracmon,Fabaceae,Senna
Morpheis pyracmon,Arecaceae,Syagrus
Prionoxystus robiniae,Sapindaceae,Acer
Prionoxystus robiniae,Asteraceae,Baccharis
Prionoxystus robiniae,Betulaceae,Betula
Prionoxystus robiniae,Juglandaceae,Carya
Prionoxystus robiniae,Fagaceae,Castanea
Prionoxystus robiniae,Cannabaceae,Celtis
Prionoxystus robiniae,Moraceae,Ficus
Prionoxystus robiniae,Oleaceae,Fraxinus
Prionoxystus robiniae,Salicaceae,Populus
Prionoxystus robiniae,Rosaceae,Prunus
Prionoxystus robiniae,Rosaceae,Pyrus
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Fabaceae,Robinia
Prionoxystus robiniae,Salicaceae,Salix
Prionoxystus robiniae,Ulmaceae,Ulmus
Psychonoctua personalis,Rutaceae,Citrus
Psychonoctua personalis,Polygonaceae,Coccoloba
Psychonoctua personalis,Euphorbiaceae,Codiaeum
Psychonoctua personalis,Rubiaceae,Coffea
Psychonoctua personalis,Myrtaceae,Eugenia
Psychonoctua personalis,Combretaceae,Laguncularia
Psychonoctua personalis,Rhizophoraceae,Rhizophora
Catoptria falsella,Pottiaceae,Barbula
Catoptria falsella,Pottiaceae,Tortula
Chilo suppressalis,Amaranthaceae,Amaranthus
Chilo suppressalis,Poaceae,Andropogon
Chilo suppressalis,Poaceae,Brachiaria
Chilo suppressalis,Brassicaceae,Brassica
Chilo suppressalis,Poaceae,Setaria
Chilo suppressalis,Poaceae,Coix
Chilo suppressalis,Poaceae,Cymbopogon
Chilo suppressalis,Poaceae,Echinochloa
Chilo suppressalis,Poaceae,Eleusine
Chilo suppressalis,Poaceae,Miscanthus
Chilo suppressalis,Poaceae,Oryza
Chilo suppressalis,Poaceae,Panicum
Chilo suppressalis,Poaceae,Paspalum
Chilo suppressalis,Poaceae,Pennisetum
Chilo suppressalis,Poaceae,Phragmites
Chilo suppressalis,Brassicaceae,Raphanus
Chilo suppressalis,Poaceae,Saccharum
Chilo suppressalis,Poaceae,Sclerostachya
Chilo suppressalis,Solanaceae,Solanum
Chilo suppressalis,Poaceae,Sorghum
Chilo suppressalis,Poaceae,Triticum
Chilo suppressalis,Typhaceae,Typha
Chilo suppressalis,Asteraceae,Xanthium
Chilo suppressalis,Poaceae,Zea
Chilo suppressalis,Poaceae,Zizania
Cnaphalocrocis medinalis,Poaceae,Dactyloctenium
Cnaphalocrocis medinalis,Poaceae,Digitaria
Cnaphalocrocis medinalis,Poaceae,Echinochloa
Cnaphalocrocis medinalis,Poaceae,Eleusine
Cnaphalocrocis medinalis,Poaceae,Elytrigia
Cnaphalocrocis medinalis,Poaceae,Leersia
Cnaphalocrocis medinalis,Solanaceae,Nicotiana
Cnaphalocrocis medinalis,Poaceae,Oryza
Cnaphalocrocis medinalis,Poaceae,Paspalum
Cnaphalocrocis medinalis,Poaceae,Sacciolepis
Cnaphalocrocis medinalis,Poaceae,Sorghum
Cnaphalocrocis medinalis,Fabaceae,Stylosanthes
Cnaphalocrocis medinalis,Poaceae,Zea
Cnaphalocrocis medinalis,Zingiberaceae,Zingiber
Dalcera abrasa,Rubiaceae,Coffea
Dalcera abrasa,Poaceae,Echinochloa
Dalcera abrasa,Asteraceae,Eremanthus
Dalcera abrasa,Erythroxylaceae,Erythroxylum
Dalcera abrasa,Myrtaceae,Eucalyptus
Dalcera abrasa,Rutaceae,Metrodorea
Dalcera abrasa,Ochnaceae,Ouratea
Dalcera abrasa,Sapotaceae,Pouteria
Dalcera abrasa,Vochysiaceae,Qualea
Dalcera abrasa,Anacardiaceae,Spondias
Antaeotricha schlaegeri,Betulaceae,Betula
Antaeotricha schlaegeri,Fagaceae,Quercus
Psilocorsis reflexella,Sapindaceae,Acer
Psilocorsis reflexella,Betulaceae,Betula
Psilocorsis reflexella,Juglandaceae,Carya
Psilocorsis reflexella,Betulaceae,Corylus
Psilocorsis reflexella,Fagaceae,Fagus
Psilocorsis reflexella,Salicaceae,Populus
Psilocorsis reflexella,Fagaceae,Quercus
Psilocorsis reflexella,Salicaceae,Salix
Psilocorsis reflexella,Malvaceae,Tilia
Cyclidia substigmaria,Cornaceae,Alangium
Cyclidia substigmaria,Malvaceae,Hibiscus
Pseudothyatira cymatophoroides,Sapindaceae,Acer
Pseudothyatira cymatophoroides,Betulaceae,Alnus
Pseudothyatira cymatophoroides,Rosaceae,Amelanchier
Pseudothyatira cymatophoroides,Betulaceae,Betula
Pseudothyatira cymatophoroides,Betulaceae,Corylus
Pseudothyatira cymatophoroides,Rosaceae,Crataegus
Pseudothyatira cymatophoroides,Rosaceae,Malus
Pseudothyatira cymatophoroides,Salicaceae,Populus
Pseudothyatira cymatophoroides,Rosaceae,Prunus
Pseudothyatira cymatophoroides,Fagaceae,Quercus
Pseudothyatira cymatophoroides,Rosaceae,Rosa
Pseudothyatira cymatophoroides,Rosaceae,Rubus
Pseudothyatira cymatophoroides,Salicaceae,Salix
Pseudothyatira cymatophoroides,Rosaceae,Sorbus
Thyatira batis,Rosaceae,Rubus
Tridrepana flava,Pentaphylacaceae,Eurya
Mustilizans dierli,Moraceae,Broussonetia
Mustilizans dierli,Fagaceae,Quercus
Epicopeia hainesii,Cornaceae,Cornus
Amata phegea,Poaceae,
Eudocima salaminia,Caricaceae,Carica
Eudocima salaminia,Rutaceae,Citrus
Eudocima salaminia,Sapindaceae,Dimocarpus
Eudocima salaminia,Menispermaceae,Legnephora
Eudocima salaminia,Menispermaceae,Menispermum
Eudocima salaminia,Musaceae,Musa
Eudocima salaminia,Menispermaceae,Sarcopetalum
Eudocima salaminia,Menispermaceae,Stephania
Euproctis chrysorrhoea,Fabaceae,Acacia
Euproctis chrysorrhoea,Sapindaceae,Acer
Euproctis chrysorrhoea,Rosaceae,Amelanchier
Euproctis chrysorrhoea,Asteraceae,Arctium
Euproctis chrysorrhoea,Betulaceae,Betula
Euproctis chrysorrhoea,Juglandaceae,Carya
Euproctis chrysorrhoea,Fagaceae,Castanea
Euproctis chrysorrhoea,Rosaceae,Chaenomeles
Euproctis chrysorrhoea,Rosaceae,Crataegus
Euproctis chrysorrhoea,Rosaceae,Cydonia
Euproctis chrysorrhoea,Fagaceae,Fagus
Euproctis chrysorrhoea,Oleaceae,Forsythia
Euproctis chrysorrhoea,Rosaceae,Fragaria
Euproctis chrysorrhoea,Oleaceae,Fraxinus
Euproctis chrysorrhoea,Geraniaceae,Geranium
Euproctis chrysorrhoea,Elaeagnaceae,Hippophae
Euproctis chrysorrhoea,Juglandaceae,Juglans
Euproctis chrysorrhoea,Rosaceae,Malus
Euproctis chrysorrhoea,Myricaceae,Myrica
Euproctis chrysorrhoea,Vitaceae,Parthenocissus
Euproctis chrysorrhoea,Plantaginaceae,Plantago
Euproctis chrysorrhoea,Salicaceae,Populus
Euproctis chrysorrhoea,Rosaceae,Prunus
Euproctis chrysorrhoea,Rosaceae,Pyrus
Euproctis chrysorrhoea,Fagaceae,Quercus
Euproctis chrysorrhoea,Polygonaceae,Rheum
Euproctis chrysorrhoea,Grossulariaceae,Ribes
Euproctis chrysorrhoea,Fabaceae,Robinia
Euproctis chrysorrhoea,Rosaceae,Rosa
Euproctis chrysorrhoea,Rosaceae,Rubus
