Butterfly species name,Host family,Host genus
Acanthopteroctetes unifascia,Rhamnaceae,Ceanothus
Nemophora degeerella,0,0
Agathiphaga queenslandensis,Araucariaceae,Agathis
Alucita desmodactyla,Lamiaceae,Ballota
Alucita desmodactyla,Lamiaceae,Stachys
Bombyx mandarina,Moraceae,Morus
Bombyx mori,Moraceae,Morus
Bombyx mori,Rubiaceae,Morinda
Brahmaea hearseyi,0,0
Bucculatrix cristatella,Asteraceae,Achillea
Pterodecta felderi,0,0
Synemon plana,Poaceae,Danthonia
Telchin licus,0,0
Hemerophila diva,Moraceae,Ficus
Axia margarita,0,0
Hyposmocoma kahamanoa,0,0
Archaeoses polygrapha,Myoporaceae,Myoporum
Culama crepera,0,0
Morpheis pyracmon,Fabaceae,Mimosa
Morpheis pyracmon,Fabaceae,Senna
Morpheis pyracmon,Fabaceae,Inga
Morpheis pyracmon,Salicaceae,Salix
Morpheis pyracmon,Arecaceae,Syagrus
Prionoxystus robiniae,Aceraceae,Acer
Prionoxystus robiniae,Fagaceae,Castanea
Prionoxystus robiniae,Fagaceae,Quercus
Prionoxystus robiniae,Ulmaceae,Celtis
Prionoxystus robiniae,Ulmaceae,Ulmus
Prionoxystus robiniae,Moraceae,Ficus
Prionoxystus robiniae,Oleaceae,Fraxinus
Prionoxystus robiniae,Salicaceae,Populus
Prionoxystus robiniae,Salicaceae,Salix
Prionoxystus robiniae,Rosaceae,Prunus
Prionoxystus robiniae,Fabaceae,Robinia
Prionoxystus robiniae,Asteraceae,Baccharis
Prionoxystus robiniae,Polyphagous,0
Psychonoctua personalis,Euphorbiaceae,Codiaeum
Psychonoctua personalis,Rutaceae,Citrus
Psychonoctua personalis,Combretaceae,Laguncularia
Psychonoctua personalis,Rubiaceae,Coffea
Psychonoctua personalis,Polygonaceae,Coccoloba
Psychonoctua personalis,Myrtaceae,Eugenia
Psychonoctua personalis,Rhizophoraceae,Rhizophora
Catoptria falsella,Musci,0
Catoptria falsella,Musci,Tortula
Chilo suppressalis,Poaceae,Andropogon
Chilo suppressalis,Poaceae,Brachiaria
Chilo suppressalis,Poaceae,Setaria
Chilo suppressalis,Poaceae,Coix
Chilo suppressalis,Poaceae,Cymbopogon
Chilo suppressalis,Poaceae,Echinochloa
Chilo suppressalis,Poaceae,Eleusine
Chilo suppressalis,Poaceae,Miscanthus
Chilo suppressalis,Poaceae,Oryza
Chilo suppressalis,Poaceae,Panicum
Chilo suppressalis,Poaceae,Paspalum
Chilo suppressalis,Poaceae,Pennisetum
Chilo suppressalis,Poaceae,Saccharum
Chilo suppressalis,Poaceae,Sorghum
Chilo suppressalis,Poaceae,Triticum
Chilo suppressalis,Poaceae,Zea
Chilo suppressalis,Poaceae,0
Chilo suppressalis,Brassicaceae,Brassica
Chilo suppressalis,Solanaceae,Lycopersicon
Chilo suppressalis,Solanaceae,Solanum
Cnaphalocrocis medinalis,Poaceae,0
Cnaphalocrocis medinalis,Poaceae,Dactyloctenium
Cnaphalocrocis medinalis,Poaceae,Digitaria
Cnaphalocrocis medinalis,Poaceae,Echinochloa
Cnaphalocrocis medinalis,Poaceae,Eleusine
Cnaphalocrocis medinalis,Poaceae,Elytrigia
Cnaphalocrocis medinalis,Poaceae,Leersia
Cnaphalocrocis medinalis,Poaceae,Oryza
Cnaphalocrocis medinalis,Poaceae,Paspalum
Cnaphalocrocis medinalis,Poaceae,Sacciolepis
Cnaphalocrocis medinalis,Poaceae,Sorghum
